time,hip_angle,knee_angle,ankle_angle,hip_torque,knee_torque,ankle_torque
4.1650,-30.0000,124.9187,-39.6332,1.7453,-12.1160,-0.2889
4.1660,-30.0000,124.9202,-39.6332,1.7453,-12.1160,-0.2889
4.1670,-30.0000,124.9217,-39.6331,1.7453,-12.1160,-0.2889
4.1680,-30.0000,124.9232,-39.6331,1.7453,-12.1160,-0.2889
4.1690,-30.0000,124.9247,-39.6331,1.7453,-12.1160,-0.2889
4.1700,-30.0000,124.9262,-39.6331,1.7453,-12.1160,-0.2889
4.1710,-30.0000,124.9277,-39.6331,1.7453,-12.1160,-0.2889
4.1720,-30.0000,124.9292,-39.6331,1.7453,-12.1160,-0.2889
4.1730,-30.0000,124.9307,-39.6331,1.7453,-12.1160,-0.2889
4.1740,-30.0000,124.9322,-39.6331,1.7453,-12.1160,-0.2889
4.1750,-30.0000,124.9337,-39.6331,1.7453,-12.1160,-0.2890
4.1760,-30.0000,124.9352,-39.6331,1.7453,-12.1160,-0.2890
4.1770,-30.0000,124.9366,-39.6331,1.7453,-12.1160,-0.2890
4.1780,-30.0000,124.9381,-39.6330,1.7453,-12.1160,-0.2890
4.1790,-30.0000,124.9396,-39.6330,1.7453,-12.1160,-0.2890
4.1800,-30.0000,124.9410,-39.6330,1.7453,-12.1160,-0.2890
4.1810,-30.0000,124.9425,-39.6330,1.7453,-12.1160,-0.2890
4.1820,-30.0000,124.9439,-39.6330,1.7453,-12.1160,-0.2890
4.1830,-30.0000,124.9454,-39.6330,1.7453,-12.1160,-0.2890
4.1840,-30.0000,124.9468,-39.6330,1.7453,-12.1160,-0.2890
4.1850,-30.0000,124.9482,-39.6330,1.7453,-12.1160,-0.2890
4.1860,-30.0000,124.9497,-39.6330,1.7453,-12.1160,-0.2890
4.1870,-30.0000,124.9511,-39.6330,1.7453,-12.1160,-0.2890
4.1880,-30.0000,124.9525,-39.6330,1.7453,-12.1160,-0.2890
4.1890,-30.0000,124.9539,-39.6329,1.7453,-12.1160,-0.2890
4.1900,-30.0000,124.9553,-39.6329,1.7453,-12.1160,-0.2890
4.1910,-30.0000,124.9568,-39.6329,1.7453,-12.1160,-0.2890
4.1920,-30.0000,124.9582,-39.6329,1.7453,-12.1160,-0.2890
4.1930,-30.0000,124.9596,-39.6329,1.7453,-12.1160,-0.2890
4.1940,-30.0000,124.9610,-39.6329,1.7453,-12.1160,-0.2890
4.1950,-30.0000,124.9623,-39.6329,1.7453,-12.1160,-0.2891
4.1960,-30.0000,124.9637,-39.6329,1.7453,-12.1160,-0.2891
4.1970,-30.0000,124.9651,-39.6329,1.7453,-12.1160,-0.2891
4.1980,-30.0000,124.9665,-39.6329,1.7453,-12.1160,-0.2891
4.1990,-30.0000,124.9679,-39.6329,1.7453,-12.1160,-0.2891
4.2000,-30.0000,124.9692,-39.6329,1.7453,-12.1160,-0.2891
4.2010,-30.0000,124.9706,-39.6328,1.7453,-12.1160,-0.2891
4.2020,-30.0000,124.9720,-39.6328,1.7453,-12.1160,-0.2891
4.2030,-30.0000,124.9733,-39.6328,1.7453,-12.1160,-0.2891
4.2040,-30.0000,124.9747,-39.6328,1.7453,-12.1160,-0.2891
4.2050,-30.0000,124.9760,-39.6328,1.7453,-12.1160,-0.2891
4.2060,-30.0000,124.9774,-39.6328,1.7453,-12.1160,-0.2891
4.2070,-30.0000,124.9787,-39.6328,1.7453,-12.1160,-0.2891
4.2080,-30.0000,124.9801,-39.6328,1.7453,-12.1160,-0.2891
4.2090,-30.0000,124.9814,-39.6328,1.7453,-12.1160,-0.2891
4.2100,-30.0000,124.9827,-39.6328,1.7453,-12.1160,-0.2891
4.2110,-30.0000,124.9841,-39.6328,1.7453,-12.1160,-0.2891
4.2120,-30.0000,124.9854,-39.6327,1.7453,-12.1160,-0.2891
4.2130,-30.0000,124.9867,-39.6327,1.7453,-12.1160,-0.2891
4.2140,-30.0000,124.9880,-39.6327,1.7453,-12.1160,-0.2891
